
. Module name, ATOMS, SHARED ARITHMATIC MODE, COMB ARITHMETIC MODE, REGISTERS, SYNC RAMS, MACs
. convolutional_layer, 4403, 160, 480, 3310, 8, 36
.	. conv_8s_9s_6, 1134, 40, 120, 827, 2, 8
.	.	. syn_mlab_2_0, 0, 0, 0, 4, 0, 0
.	.	. window_8s_9s_451s_451s_3, 171, 0, 56, 520, 2, 0
.	.	.	. syn_mlab_2, 0, 0, 0, 0, 0, 0
.	.	.	. syn_mlab_6, 0, 0, 0, 0, 0, 0
.	. conv_8s_9s_6_0, 1098, 40, 120, 826, 2, 8
.	.	. syn_mlab_2_1, 0, 0, 0, 4, 0, 0
.	.	. window_8s_9s_451s_451s_3_0, 140, 0, 56, 520, 2, 0
.	.	.	. syn_mlab_3, 0, 0, 0, 0, 0, 0
.	.	.	. syn_mlab_7, 0, 0, 0, 0, 0, 0
.	. conv_8s_9s_6_1, 1078, 40, 120, 829, 2, 8
.	.	. syn_mlab_2_2, 0, 0, 0, 4, 0, 0
.	.	. window_8s_9s_451s_451s_3_1, 140, 0, 56, 520, 2, 0
.	.	.	. syn_mlab_4, 0, 0, 0, 0, 0, 0
.	.	.	. syn_mlab_8, 0, 0, 0, 0, 0, 0
.	. conv_8s_9s_6_2, 1093, 40, 120, 828, 2, 8
.	.	. syn_mlab_2_3, 0, 0, 0, 4, 0, 0
.	.	. window_8s_9s_451s_451s_3_2, 140, 0, 56, 520, 2, 0
.	.	.	. syn_mlab_5, 0, 0, 0, 0, 0, 0
.	.	.	. syn_mlab_9, 0, 0, 0, 0, 0, 0
